USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
_windowserver      367  13,6  0,8 413316000  69776   ??  Ss   18ноя25 981:26.73 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
bhuikund         82872   3,6  1,2 417352160 103952   ??  R     6:39     4:30.92 /Applications/Telegram.app/Contents/MacOS/Telegram
bhuikund         76127   0,1  0,1 1624407568   6400   ??  S     2мар26   0:03.40 /Applications/Microsoft Teams.app/Contents/Helpers/Microsoft Teams WebView.app/Contents/Frameworks/Microsoft Edge Framework.framework/Versions/127.0.2651.111/Helpers/Microsoft Teams WebView Helper (Renderer).app/Contents/MacOS/Microsoft Teams WebView Helper (Renderer) --type=renderer --noerrdialogs --user-data-dir=/Users/bhuikund/Library/Containers/com.microsoft.teams2/Data/Library/Application Support/Microsoft/MSTeams/EBWebView --webview-exe-name=Microsoft Teams --webview-exe-version=24244.507.3125.3475 --embedded-browser-webview=1 --no-sandbox --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --lang=en-US --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=5 --js-flags=--harmony-weak-refs-with-cleanup-some --expose-gc --ms-user-locale= --time-ticks-at-unix-epoch=-1772070403610702 --launch-time-ticks=388659072930 --shared-files --field-trial-handle=1718379636,r,15854601915566551798,15876631381545905441,262144 --enable-features=AutofillReplaceCachedWebElementsByRendererIds,MojoIpcz,PartitionedCookies,SharedArrayBuffer,ThirdPartyStoragePartitioning,msWebView2EnableDraggableRegions,msWebView2SetUserAgentOverrideOnIframes,msWebView2TextureStream --disable-features=BreakoutBoxPreferCaptureTimestampInVideoFrames,msEnhancedTrackingPreventionEnabled,msFloatyShouldHonorIndiaHoldout --variations-seed-version
bhuikund         84184   0,1  0,0 410598208    624   ??  S     9:06     0:16.39 /var/folders/mt/xl1ydmzd05s9yzphbqlgkztc0000gn/T//.ape-1.10 /Users/bhuikund/Library/Application Support/GIGAIDE/GIGAIDE-CE-2024.2/plugins/jarvis/models/local-context-manager -p 9052 -h 127.0.0.1
root               341   0,1  0,1 410367696   5776   ??  Ss   18ноя25   4:38.91 /System/Library/CoreServices/launchservicesd
bhuikund         85446   0,1  1,1 1867181296  88192   ??  S    10:44     0:03.98 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/145.0.7632.117/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --extension-process --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=ru --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=252 --time-ticks-at-unix-epoch=-1771746579597116 --launch-time-ticks=423286596173 --shared-files --metrics-shmem-handle=1752395122,r,3421674242547681340,6874675627370584139,2097152 --field-trial-handle=1718379636,r,5799861745977105066,431013067418218464,262144 --variations-seed-version=20260224-170100.149000-production --trace-process-track-uuid=3190709222446417442 --seatbelt-client=41
bhuikund         85476   0,0  0,1 410326336   9200   ??  Ss   10:46     0:00.09 /System/Library/PrivateFrameworks/iCloudDriveService.framework/XPCServices/ContainerMetadataExtractor.xpc/Contents/MacOS/ContainerMetadataExtractor
bhuikund         85472   0,0  0,1 410326960   4768   ??  S    10:46     0:00.07 /usr/libexec/MTLAssetUpgraderD
bhuikund         85474   0,0  0,1 410329360   7952   ??  S    10:46     0:00.26 /usr/libexec/linkd
bhuikund         85475   0,0  0,2 410339664  16640   ??  S    10:46     0:04.79 /usr/libexec/siriknowledged
bhuikund         85473   0,0  0,1 410368896  10704   ??  S    10:46     0:00.16 /usr/libexec/dmd
bhuikund         85470   0,0  0,2 410334336  14912   ??  S    10:46     0:00.43 /System/Library/PrivateFrameworks/VoiceShortcuts.framework/Versions/A/Support/siriactionsd
